Geo_GEOID,SE_T004_001,SE_T017_001
14000US01047956701,2033,770
14000US01047956702,1495,583
14000US01047956800,2724,1026
14000US01047956900,2310,1030
14000US01047957000,1320,519
14000US01047957100,1520,591
14000US01047957200,1395,560
14000US01047957300,4040,1506
14000US01049960100,5994,2293
14000US01049960200,3290,1218
14000US01049960300,7253,2583
14000US01049960400,6005,2042
14000US01049960500,5317,1989
14000US01049960600,6395,2196
14000US01049960700,8670,2583
14000US01049960800,4920,1647
14000US01049960900,3679,1376
14000US01049961000,3938,1438
14000US01049961100,3265,1091
14000US01049961200,2331,821
14000US01049961300,5624,2055
14000US01049961400,4256,1479
14000US01051030100,9361,2482
14000US01051030200,4616,1722
14000US01051030300,2587,1111
14000US01051030400,6991,2717
14000US01051030500,4564,1760
14000US01051030600,6909,2326
14000US01051030701,7202,2622
14000US01051030702,4305,1515
14000US01051030800,6745,2473
14000US01051030901,6212,1970
14000US01051030902,3936,1532
14000US01051031000,7373,2884
14000US01051031100,4319,1615
14000US01051031200,1836,647
14000US01051031300,4001,1514
14000US01053969800,5817,2304
14000US01053969900,4502,1639
14000US01053970100,4120,1742
14000US01053970200,1967,682
14000US01053970300,3468,1221
14000US01053970400,5254,970
14000US01053970500,5190,2044
14000US01053970600,3763,1505
14000US01053970700,3794,1429
14000US01055000200,3668,1307
14000US01055000300,2667,982
14000US01055000400,4174,1688
14000US01055000500,1725,746
14000US01055000600,1954,772
14000US01055000700,1085,459
14000US01055000800,1222,404
14000US01055000900,2908,953
14000US01055001000,1606,495
14000US01055001100,4927,1926
14000US01055001200,3013,1405
14000US01055001300,2232,986
14000US01055001600,3843,1278
14000US01055001700,1726,783
14000US01055010100,2115,772
14000US01055010200,5106,2001
14000US01055010300,2678,1039
14000US01055010401,3507,1431
14000US01055010402,5264,2163
14000US01055010501,8235,3204
14000US01055010502,5255,2034
14000US01055010601,5032,2015
14000US01055010602,3875,1368
14000US01055010700,3880,1364
14000US01055010800,2884,983
14000US01055010900,1658,617
14000US01055011001,4615,1690
14000US01055011002,5101,1664
14000US01055011100,5070,1880
14000US01055011200,2338,1113
14000US01057020000,1719,664
14000US01057020100,3322,1364
14000US01057020200,4187,1659
14000US01057020300,3832,1614
14000US01057020400,3723,1549
14000US01059972900,3616,1393
14000US01059973000,5811,1853
14000US01059973100,2560,1059
14000US01059973200,4423,1262
14000US01059973300,2624,1130
14000US01059973400,2518,1103
14000US01059973500,2266,941
14000US01059973600,1648,741
14000US01059973700,6107,2215
14000US01061050100,4803,2063
14000US01061050200,2479,992
14000US01061050300,5861,2162
14000US01061050400,5680,2313
14000US01061050500,4039,1529
14000US01061050600,3903,1598
14000US01063060000,1472,533
14000US01063060100,3761,1445
14000US01063060200,3354,1129
14000US01065040000,3728,1368
14000US01065040100,1377,583
14000US01065040200,1629,598
14000US01065040300,2056,785
14000US01065040400,4854,2049
14000US01065040500,1515,565
14000US01067030100,1894,746
14000US01067030200,2901,1099
14000US01067030300,2612,1308
14000US01067030400,1856,699
14000US01067030500,6396,2415
14000US01067030600,1528,564
14000US01069040100,5388,1977
14000US01069040201,9948,3943
14000US01069040202,8726,3281
14000US01069040301,3846,1602
14000US01069040302,3705,1408
14000US01069040400,2587,1028
14000US01069040500,3600,1537
14000US01069040600,2228,784
14000US01069040700,2807,1003
14000US01069040800,8664,3155
14000US01069040900,5066,1850
14000US01069041000,5154,1829
14000US01069041100,3718,1475
14000US01069041200,2321,928
14000US01069041400,3185,1066
14000US01069041500,4077,1623
14000US01069041600,5145,1964
14000US01069041700,1228,537
14000US01069041800,1949,784
14000US01069041900,7496,2796
14000US01069042000,5859,2191
14000US01069042100,7194,2602
14000US01071950100,5666,2288
14000US01071950200,3413,1394
14000US01071950300,5783,2102
14000US01071950400,1985,735
14000US01071950500,3854,1315
14000US01071950600,5648,2185
14000US01071950700,4443,1758
14000US01071950800,4405,1807
14000US01071950900,5886,2267
14000US01071951000,4576,1674
14000US01071951100,6949,2420
14000US01073000100,3111,1204
14000US01073000300,2333,905
14000US01073000400,3540,1218
14000US01073000500,2966,1226
14000US01073000700,2724,941
14000US01073000800,3338,1564
14000US01073001100,4428,1800
14000US01073001200,2762,1204
14000US01073001400,2152,929
14000US01073001500,2540,1198
14000US01073001600,3212,970
14000US01073001902,1856,746
14000US01073002000,3498,1387
14000US01073002100,2945,1283
14000US01073002200,2632,931
14000US01073002303,3764,1500
14000US01073002305,3091,1411
14000US01073002306,3713,1812
14000US01073002400,3975,1683
14000US01073002700,3749,1834
14000US01073002900,2144,1072
14000US01073003001,3099,972
14000US01073003002,2478,1112
14000US01073003100,3997,1410
14000US01073003200,1285,469
14000US01073003300,745,389
14000US01073003400,2356,898
14000US01073003500,2440,1013
14000US01073003600,4406,1773
14000US01073003700,4887,1983
14000US01073003802,5344,1951
14000US01073003803,3558,1531
14000US01073003900,1447,641
14000US01073004000,3087,1638
14000US01073004200,2066,961
14000US01073004500,4887,1247
14000US01073004701,3981,2306
14000US01073004702,3580,1952
14000US01073004800,2006,1187
14000US01073004901,1136,832
14000US01073004902,3181,1586
14000US01073005000,3378,1570
14000US01073005101,2089,760
14000US01073005103,2828,1274
14000US01073005104,4180,1937
14000US01073005200,3374,1498
14000US01073005302,3350,1439
14000US01073005500,2303,798
14000US01073005600,4788,2404
14000US01073005701,2445,1032
14000US01073005702,2706,1214
14000US01073005800,3739,1998
