Geo_GEOID,Geo_NAME,SE_T004_001,SE_T017_001
05000US01001,"Autauga County, Alabama",55049,20800
05000US01003,"Baldwin County, Alabama",199510,75149
05000US01005,"Barbour County, Alabama",26614,9122
05000US01007,"Bibb County, Alabama",22572,7048
05000US01009,"Blount County, Alabama",57704,20619
05000US01011,"Bullock County, Alabama",10552,3556
05000US01013,"Butler County, Alabama",20280,7675
05000US01015,"Calhoun County, Alabama",115883,45071
05000US01017,"Chambers County, Alabama",34018,13851
05000US01019,"Cherokee County, Alabama",25897,10999
05000US01021,"Chilton County, Alabama",43817,16619
05000US01023,"Choctaw County, Alabama",13287,5562
05000US01025,"Clarke County, Alabama",24847,9554
05000US01027,"Clay County, Alabama",13483,5363
05000US01029,"Cleburne County, Alabama",14991,5834
05000US01031,"Coffee County, Alabama",50991,19375
05000US01033,"Colbert County, Alabama",54377,22105
05000US01035,"Conecuh County, Alabama",12697,5090
05000US01037,"Coosa County, Alabama",10864,4206
05000US01039,"Covington County, Alabama",37729,15179
05000US01041,"Crenshaw County, Alabama",13896,5426
05000US01043,"Cullman County, Alabama",81316,31081
05000US01045,"Dale County, Alabama",49607,18794
05000US01047,"Dallas County, Alabama",41426,16099
05000US01049,"DeKalb County, Alabama",70937,24811
05000US01051,"Elmore County, Alabama",80957,28890
05000US01053,"Escambia County, Alabama",37875,13536
05000US01055,"Etowah County, Alabama",103363,39522
05000US01057,"Fayette County, Alabama",16783,6850
05000US01059,"Franklin County, Alabama",31573,11697
05000US01061,"Geneva County, Alabama",26765,10657
05000US01063,"Greene County, Alabama",8587,3107
05000US01065,"Hale County, Alabama",15159,5948
05000US01067,"Henry County, Alabama",17187,6831
05000US01069,"Houston County, Alabama",103891,39363
05000US01071,"Jackson County, Alabama",52608,19945
05000US01073,"Jefferson County, Alabama",659096,261773
05000US01075,"Lamar County, Alabama",14066,6010
05000US01077,"Lauderdale County, Alabama",92641,38361
05000US01079,"Lawrence County, Alabama",33433,13321
05000US01081,"Lee County, Alabama",153947,57901
05000US01083,"Limestone County, Alabama",90257,32073
05000US01085,"Lowndes County, Alabama",10565,4238
05000US01087,"Macon County, Alabama",19684,7915
05000US01089,"Madison County, Alabama",349973,139949
05000US01091,"Marengo County, Alabama",20066,8149
05000US01093,"Marion County, Alabama",30239,12486
05000US01095,"Marshall County, Alabama",94534,34461
05000US01097,"Mobile County, Alabama",414291,154261
05000US01099,"Monroe County, Alabama",21975,8316
05000US01101,"Montgomery County, Alabama",227392,90281
05000US01103,"Morgan County, Alabama",119555,46164
05000US01105,"Perry County, Alabama",9856,3198
05000US01107,"Pickens County, Alabama",20042,7618
05000US01109,"Pike County, Alabama",33277,12802
05000US01111,"Randolph County, Alabama",22615,8691
05000US01113,"Russell County, Alabama",58636,22333
05000US01115,"St. Clair County, Alabama",86576,31832
05000US01117,"Shelby County, Alabama",205951,75942
05000US01119,"Sumter County, Alabama",13285,4878
05000US01121,"Talladega County, Alabama",81057,31461
05000US01123,"Tallapoosa County, Alabama",40958,16338
05000US01125,"Tuscaloosa County, Alabama",202471,70440
05000US01127,"Walker County, Alabama",65593,25194
05000US01129,"Washington County, Alabama",16909,6113
05000US01131,"Wilcox County, Alabama",11119,3792
05000US01133,"Winston County, Alabama",24013,9436
05000US02013,"Aleutians East Borough, Alaska",3299,788
05000US02016,"Aleutians West Census Area, Alaska",5714,1186
05000US02020,"Anchorage Municipality, Alaska",299321,104969
05000US02050,"Bethel Census Area, Alaska",17885,4555
05000US02060,"Bristol Bay Borough, Alaska",942,360
05000US02068,"Denali Borough, Alaska",2125,707
05000US02070,"Dillingham Census Area, Alaska",4980,1375
05000US02090,"Fairbanks North Star Borough, Alaska",100150,35303
05000US02100,"Haines Borough, Alaska",2528,1170
05000US02105,"Hoonah-Angoon Census Area, Alaska",2107,836
05000US02110,"Juneau City and Borough, Alaska",32524,12138
05000US02122,"Kenai Peninsula Borough, Alaska",57637,21481
05000US02130,"Ketchikan Gateway Borough, Alaska",13715,5209
05000US02150,"Kodiak Island Borough, Alaska",13918,4585
05000US02158,"Kusilvak Census Area, Alaska",7993,1734
05000US02164,"Lake and Peninsula Borough, Alaska",1411,468
05000US02170,"Matanuska-Susitna Borough, Alaska",98679,30839
05000US02180,"Nome Census Area, Alaska",9879,2879
05000US02185,"North Slope Borough, Alaska",9681,2018
05000US02188,"Northwest Arctic Borough, Alaska",7723,1904
05000US02195,"Petersburg Borough, Alaska",3196,1237
05000US02198,"Prince of Wales-Hyder Census Area, Alaska",6374,2267
05000US02220,"Sitka City and Borough, Alaska",8921,3504
05000US02230,"Skagway Municipality, Alaska",1014,428
05000US02240,"Southeast Fairbanks Census Area, Alaska",6970,2085
05000US02261,"Valdez-Cordova Census Area, Alaska",9522,2937
05000US02275,"Wrangell City and Borough, Alaska",2401,1045
05000US02282,"Yakutat City and Borough, Alaska",646,247
05000US02290,"Yukon-Koyukuk Census Area, Alaska",5600,1981
05000US04001,"Apache County, Arizona",72346,19351
05000US04003,"Cochise County, Arizona",128177,49230
05000US04005,"Coconino County, Arizona",138064,47366
05000US04007,"Gila County, Arizona",53179,21408
05000US04009,"Graham County, Arizona",37529,10915
05000US04011,"Greenlee County, Arizona",9224,3295
05000US04012,"La Paz County, Arizona",20304,9181
05000US04013,"Maricopa County, Arizona",4088549,1465840
05000US04015,"Mohave County, Arizona",203629,82145
05000US04017,"Navajo County, Arizona",108209,34090
05000US04019,"Pima County, Arizona",1003338,395390
05000US04021,"Pinal County, Arizona",397604,130801
05000US04023,"Santa Cruz County, Arizona",46547,15538
05000US04025,"Yavapai County, Arizona",218586,93445
05000US04027,"Yuma County, Arizona",203292,70924
05000US05001,"Arkansas County, Arkansas",18569,7685
05000US05003,"Ashley County, Arkansas",20989,8338
05000US05005,"Baxter County, Arkansas",40992,18061
05000US05007,"Benton County, Arkansas",245231,88014
05000US05009,"Boone County, Arkansas",37301,14883
05000US05011,"Bradley County, Arkansas",11096,4550
05000US05013,"Calhoun County, Arkansas",5210,2079
05000US05015,"Carroll County, Arkansas",27690,10874
05000US05017,"Chicot County, Arkansas",11189,4384
05000US05019,"Clark County, Arkansas",22684,8783
