Geo_GEOID,Geo_NAME,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008,SE_T030_001,SE_T030_002,SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T083_001,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010,SE_T139_001,SE_T139_002,SE_T139_003,SE_T139_004,SE_T139_005,SE_T139_006,SE_T139_007,SE_T139_008,SE_T139_009,SE_T139_010,SE_T139_011,SE_T139_012,SE_T139_013,SE_T139_014,SE_T139_015,SE_T139_016,SE_T139_017,SE_T139_018,SE_T139_019,SE_T139_020,SE_T139_021,SE_T139_022,SE_T139_023,SE_T139_024,SE_T139_025,SE_T139_026,SE_T139_027,SE_T139_028,SE_T139_029,SE_T139_030,SE_T139_031,SE_T139_032,SE_T139_033,SE_T139_034,SE_T139_035,SE_T139_036,SE_T139_037,SE_T139_038,SE_T139_039,SE_T139_040,SE_T139_041,SE_T139_042,SE_T139_043,SE_T139_044,SE_T139_045,SE_T139_046,SE_T139_047,SE_T139_048,SE_T139_049,SE_T139_050,SE_T139_051,SE_T139_052,SE_T139_053,SE_T139_054,SE_T139_055,SE_T139_056,SE_T139_057,SE_T139_058,SE_T139_059,SE_T139_060,SE_T139_061,SE_T139_062,SE_T139_063,SE_T139_064,SE_T139_065,SE_T139_066,SE_T139_067,SE_T139_068,SE_T139_069,SE_T139_070,SE_T139_071,SE_T139_072,SE_T139_073,SE_T139_074,SE_T139_075,SE_T139_076,SE_T139_077,SE_T139_078,SE_T139_079,SE_T139_080,SE_T139_081,SE_T139_082,SE_T139_083,SE_T139_084,SE_T139_085,SE_T139_086,SE_T139_087,SE_T139_088,SE_T139_089,SE_T139_090,SE_T139_091,SE_T139_092,SE_T139_093,SE_T139_094,SE_T139_095,SE_T139_096,SE_T139_097,SE_T139_098,SE_T139_099,SE_T139_100,SE_T139_101,SE_T139_102,SE_T139_103,SE_T139_104,SE_T139_105,SE_T139_106,SE_T139_107,SE_T139_108,SE_T139_109,SE_T139_110,SE_T139_111,SE_T139_112,SE_T139_113,SE_T139_114,SE_T139_115,SE_T139_116,SE_T139_117,SE_T139_118,SE_T139_119,SE_T139_120,SE_T139_121,SE_T139_122,SE_T139_123,SE_T145_001,SE_T145_002,SE_T145_003,SE_T145_004,SE_T145_005
05000US01021,"Chilton County, Alabama",43817,700.8022,692.8538,7.948419,43817,21559,22258,43817,2867,2919,3018,1786,3492,5829,5879,5662,5683,4011,2095,576,43817,36740,4418,134,191,0,1882,452,16619,11631,8713,2918,904,2014,4988,2494,2494,29735,5918,23817,11550,4417,1587,344,108,2105,109,1996,34490,19162,15,19147,17627,1520,15328,22045,17304,16526,14339,2187,17,7,6,144,287,317,17304,16987,1825,4016,2665,2523,3015,2448,495,317,2435,188,69,54,0,54,0,0,15,20,0,0,20,0,0,5,5,0,0,0,0,94,0,0,0,0,0,12,82,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,133,4,0,0,23,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,2083,2033,20,0,20,0,0,0,0,0,1996,1825,0,0,171,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,50,50,0,43491,6875,36616,15788,26474
05000US01023,"Choctaw County, Alabama",13287,920.8592,913.5004,7.358817,13287,6349,6938,13287,648,678,900,534,1079,1286,1509,1929,1967,1602,861,294,13287,7495,5658,2,6,0,2,124,5562,3604,2448,1156,256,900,1958,889,1069,9448,1998,7450,3930,1130,390,94,13,623,34,589,10859,4933,0,4933,4260,673,5926,20773,4143,3926,3502,424,0,0,2,82,76,57,4143,4086,584,901,639,701,650,443,168,57,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,6,0,13159,1516,11643,5933,7711
05000US01025,"Clarke County, Alabama",24847,1252.574,1238.465,14.1092,24847,11738,13109,24847,1359,1467,1672,1120,2207,2640,3005,3536,3353,2547,1399,542,24847,13253,11304,8,114,33,0,135,9554,6094,4670,1424,262,1162,3460,1453,2007,17022,3227,13795,6115,2066,749,198,88,1359,80,1279,20008,9851,11,9840,8159,1681,10157,20543,8011,7596,6693,903,13,0,9,103,211,79,8011,7932,1585,2470,1086,1128,927,535,201,79,116,33,26,26,9,17,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24561,3255,21306,11256,13765
05000US01027,"Clay County, Alabama",13483,606.0016,603.9612,2.040385,13483,6532,6951,13483,679,787,885,563,1123,1263,1707,1929,1931,1497,838,281,13483,11177,1993,124,0,0,68,121,5363,3782,2837,945,277,668,1581,699,882,9446,2398,7048,3782,1045,419,128,64,850,99,751,10948,5863,7,5856,5470,386,5085,21115,5382,5165,4712,453,6,0,0,104,28,79,5382,5303,1039,1345,904,646,452,517,400,79,255,28,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,227,11,0,11,0,0,0,0,0,216,168,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13214,1705,11509,5433,8387
05000US01029,"Cleburne County, Alabama",14991,561.0137,560.1045,0.9092312,14991,7423,7568,14991,911,980,1057,570,1107,1608,1955,2113,1967,1615,795,313,14991,14176,354,21,86,0,58,296,5834,3888,3158,730,200,530,1946,951,995,10366,2676,7690,3754,1195,544,204,66,650,43,607,11826,6305,32,6273,5823,450,5521,19791,5575,5378,4579,799,1,0,0,20,48,128,5575,5447,443,974,1299,1096,840,412,383,128,262,18,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,13,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,206,13,0,13,0,0,0,0,0,183,183,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14807,2049,12758,6331,8760
05000US01031,"Coffee County, Alabama",50991,680.4948,678.986,1.508839,50991,25210,25781,50991,3168,3305,3472,2177,4255,6419,6875,6952,6320,4583,2666,799,50991,38945,8766,421,623,0,528,1708,19375,13178,9637,3541,896,2645,6197,3303,2894,34614,5145,29469,19312,8192,2941,689,253,2588,102,2486,40283,24037,1274,22763,21353,1410,16246,25325,21990,20904,18851,2053,13,62,25,209,160,617,21990,21373,3034,8155,5138,2644,1647,366,389,617,1906,470,39,39,14,25,0,0,0,393,0,0,353,40,0,14,0,12,0,2,0,24,3,0,14,5,0,2,0,0,0,0,0,478,356,39,39,0,0,37,280,0,30,0,0,30,0,0,0,92,9,28,0,28,1,26,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,25,0,16,9,0,10,2,2,2,0,0,921,904,49,0,7,33,0,6,0,3,822,542,0,7,142,9,34,85,3,33,0,0,0,0,3,30,0,0,0,0,0,17,14,3,49139,5253,43886,17886,34191
05000US01033,"Colbert County, Alabama",54377,623.5197,592.6199,30.89978,54377,26271,28106,54377,3083,3285,3250,2117,4371,6459,6572,7508,7698,5726,3209,1099,54377,43379,8532,328,255,31,605,1247,22105,15052,10764,4288,1245,3043,7053,3192,3861,38271,6344,31927,18590,7069,2568,578,225,2725,58,2667,44173,23874,23,23851,22056,1795,20299,23318,21628,20954,19364,1590,34,12,0,182,101,345,21628,21283,3242,7861,4403,2461,1678,1160,478,345,849,67,14,14,9,5,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,275,97,50,38,0,12,26,21,0,59,0,0,57,0,0,2,103,0,0,9,50,21,23,0,16,0,16,0,0,0,0,0,0,24,0,0,0,0,0,24,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,390,0,0,0,0,0,0,0,0,373,341,0,0,28,4,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,93,90,3,53950,4932,49018,20312,37661
05000US01035,"Conecuh County, Alabama",12697,852.7219,850.1568,2.565062,12697,6028,6669,12697,783,919,635,483,1069,1254,1380,1705,1896,1553,754,266,12697,6593,5880,19,14,0,1,190,5090,3444,2334,1110,212,898,1646,817,829,8808,1812,6996,2926,763,329,48,9,530,34,496,10143,4768,0,4768,3794,974,5375,16004,3753,3652,3496,156,0,0,16,24,3,58,3753,3695,469,899,873,677,414,219,144,58,108,22,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,23,9,0,0,0,0,9,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,6,0,0,0,0,6,0,0,42,41,0,0,0,0,0,1,0,15,0,0,11,0,0,4,0,0,0,0,0,0,0,0,12648,2413,10235,5481,6019
05000US01037,"Coosa County, Alabama",10864,666.3499,650.9264,15.42346,10864,5355,5509,10864,487,492,620,393,965,975,1522,1524,1858,1244,540,244,10864,7204,3516,8,0,0,0,136,4206,2600,1919,681,125,556,1606,871,735,7907,2140,5767,2894,786,297,38,31,556,36,520,9132,4286,0,4286,3747,539,4846,18080,3630,3400,2996,404,19,0,0,76,19,116,3630,3514,320,868,817,482,541,417,69,116,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,135,66,0,0,0,47,19,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10524,1321,9203,4847,6292
05000US01039,"Covington County, Alabama",37729,1043.787,1030.456,13.33086,37729,18219,19510,37729,2196,2268,2401,1453,2919,4234,4266,5081,5298,4150,2606,857,37729,31881,4945,130,176,23,144,430,15179,10110,7504,2606,524,2082,5069,2235,2834,26492,5051,21441,12326,3953,1300,323,51,1697,142,1555,30393,16188,24,16164,14441,1723,14205,21738,14210,13533,12100,1433,36,21,29,145,189,257,14210,13953,3021,4724,2151,1642,913,769,733,257,360,109,58,58,24,33,1,0,0,37,3,0,34,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,7,0,0,0,0,114,75,25,25,0,0,16,34,0,0,0,0,0,0,0,0,39,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,121,23,0,17,6,0,0,0,0,73,73,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,6,0,17,0,16,16,0,37212,4617,32595,15211,23110
