Geo_GEOID,Geo_NAME,SE_T152_001,SE_T152_002,SE_T152_003,SE_T152_004,SE_T152_005,SE_T152_006,SE_T152_007,SE_T152_008,SE_T035_001,SE_T035_002,SE_T035_003,SE_T035_004,SE_T035_005,SE_T035_006,SE_T035_007,SE_T052_001,SE_T052_002,SE_T052_003,SE_T052_004,SE_T052_005,SE_T052_006,SE_T052_007,SE_T052_008,SE_T052_009,SE_T052_010,SE_T052_011,SE_T052_012,SE_T052_013,SE_T052_014,SE_T139_001,SE_T139_002,SE_T139_003,SE_T139_004,SE_T139_005,SE_T139_006,SE_T139_007,SE_T139_008,SE_T139_009,SE_T139_010,SE_T139_011,SE_T139_012,SE_T139_013,SE_T139_014,SE_T139_015,SE_T139_016,SE_T139_017,SE_T139_018,SE_T139_019,SE_T139_020,SE_T139_021,SE_T139_022,SE_T139_023,SE_T139_024,SE_T139_025,SE_T139_026,SE_T139_027,SE_T139_028,SE_T139_029,SE_T139_030,SE_T139_031,SE_T139_032,SE_T139_033,SE_T139_034,SE_T139_035,SE_T139_036,SE_T139_037,SE_T139_038,SE_T139_039,SE_T139_040,SE_T139_041,SE_T139_042,SE_T139_043,SE_T139_044,SE_T139_045,SE_T139_046,SE_T139_047,SE_T139_048,SE_T139_049,SE_T139_050,SE_T139_051,SE_T139_052,SE_T139_053,SE_T139_054,SE_T139_055,SE_T139_056,SE_T139_057,SE_T139_058,SE_T139_059,SE_T139_060,SE_T139_061,SE_T139_062,SE_T139_063,SE_T139_064,SE_T139_065,SE_T139_066,SE_T139_067,SE_T139_068,SE_T139_069,SE_T139_070,SE_T139_071,SE_T139_072,SE_T139_073,SE_T139_074,SE_T139_075,SE_T139_076,SE_T139_077,SE_T139_078,SE_T139_079,SE_T139_080,SE_T139_081,SE_T139_082,SE_T139_083,SE_T139_084,SE_T139_085,SE_T139_086,SE_T139_087,SE_T139_088,SE_T139_089,SE_T139_090,SE_T139_091,SE_T139_092,SE_T139_093,SE_T139_094,SE_T139_095,SE_T139_096,SE_T139_097,SE_T139_098,SE_T139_099,SE_T139_100,SE_T139_101,SE_T139_102,SE_T139_103,SE_T139_104,SE_T139_105,SE_T139_106,SE_T139_107,SE_T139_108,SE_T139_109,SE_T139_110,SE_T139_111,SE_T139_112,SE_T139_113,SE_T139_114,SE_T139_115,SE_T139_116,SE_T139_117,SE_T139_118,SE_T139_119,SE_T139_120,SE_T139_121,SE_T139_122,SE_T139_123,SE_T001_001,SE_T017_001
04000US13,Georgia,3457110,449322,3007788,2070691,1033763,398514,100598,37894,4089207,2372810,5371,2367439,2160331,207108,1716397,2160331,308269,564909,78575,25940,147272,68608,100178,267282,429300,5719,14327,89715,60237,994620,89980,22604,17770,7774,8801,1195,1612,3222,25291,797,3515,17045,2051,1883,6179,1127,2445,817,1666,124,35668,722,1263,963,2609,5796,7964,4471,4352,253,7275,238,287737,86422,37044,29486,1729,5829,7130,42198,50,112143,2004,5223,79659,6386,10741,8130,74623,2737,2598,4673,16351,4679,37502,6083,13825,2192,2102,1987,1335,1945,275,3989,724,89988,28437,13595,6725,8117,5177,5452,2181,3271,5240,5045,195,38514,7822,3818,19182,7692,7168,3384,2192,1791,401,1192,523531,504808,91428,1834,11423,9868,14738,36723,7123,9719,350801,264358,2559,25550,29178,18947,3650,5636,923,62579,2756,453,10309,2003,21041,2899,6542,7812,1906,5949,909,18723,17974,749,10099320,3611706
04000US15,Hawaii,494121,45079,449042,317874,161459,54400,15647,5942,569662,341309,4372,336937,319222,17715,228353,319222,42467,76697,12285,3453,25188,15858,15204,46316,64276,1529,2098,6440,7411,253551,11167,2840,1920,983,814,123,205,715,4497,230,821,2731,305,410,931,59,454,228,172,18,2899,82,419,193,398,203,549,153,120,66,716,0,200083,64560,24568,17996,3763,2809,23593,16232,167,2734,56,137,1382,371,149,639,132154,459,633,1291,116532,2076,10052,1111,609,46,154,99,103,34,10,163,26,1693,499,97,72,330,15,222,153,69,469,461,8,488,166,54,180,88,0,24877,1655,768,887,23222,15731,11547,1238,17,196,156,151,335,129,254,6670,5271,152,288,284,201,253,165,56,3639,602,33,1295,162,553,119,158,399,16,212,90,4184,4171,13,1413673,452030
04000US16,Idaho,529978,49123,480855,336788,134323,38594,8889,3612,628775,355313,660,354653,332599,22054,273462,332599,38461,84189,16791,2741,25423,10694,22336,35584,72181,3228,1937,10610,8424,97736,13401,2485,1975,516,1245,214,125,385,4263,143,499,2796,497,328,924,50,168,199,494,13,5729,234,211,90,204,522,785,963,1694,40,986,0,18193,5635,3542,2874,243,425,904,1153,36,3253,408,27,1550,217,74,977,6733,50,259,655,2734,573,1360,1102,2563,574,53,40,53,96,0,1747,9,2842,779,173,16,590,525,351,71,280,220,212,8,771,115,117,412,127,196,947,514,418,96,433,62353,57328,461,0,79,71,138,98,43,32,53313,50737,130,1120,1010,182,57,49,28,3554,278,39,462,204,501,303,6,1398,0,158,205,5025,5002,23,1635483,596107
04000US17,Illinois,4467554,495677,3971877,2811375,1484590,573398,121314,45144,5247226,3185188,3285,3181903,2929459,252444,2062038,2929459,420492,773726,121402,31580,179169,83769,183737,323507,598587,3681,11847,120389,77573,1791568,371870,30714,19363,9296,8162,1905,8010,3341,35517,2534,5210,23271,2302,2200,37981,14644,19965,517,2814,41,266810,3752,5275,2300,134059,14239,16562,23616,10677,6863,49467,848,521389,142748,86558,71540,5696,9322,10762,43147,2281,194927,555,3825,147689,7515,26653,8690,128921,2498,1847,3711,87191,7013,18618,8043,49068,13496,4808,2862,6237,3939,300,17426,5725,62409,11693,4007,2075,5611,4785,10553,4792,5761,2571,2494,77,27562,6805,1030,15389,4338,5245,3659,3139,2432,707,520,832241,813258,27299,313,8655,3705,4776,7153,1254,1443,727933,675279,1140,8646,24687,10455,1587,1548,4591,58026,4657,1717,5622,1685,13975,17353,930,7641,498,2887,1061,18983,18915,68,12851684,4802124
04000US18,Indiana,2244484,255089,1989395,1241141,559788,202347,39694,16553,2658305,1571019,254,1570765,1465046,105719,1087286,1465046,176308,367503,66960,11807,112325,43760,76734,157474,298015,2733,10251,94074,47102,324368,40607,8395,6777,2387,3733,657,658,960,10128,299,961,7154,1162,552,4378,1842,1623,114,776,23,17582,1017,620,523,2145,989,2535,2472,1610,628,5043,124,110532,37845,25755,22977,873,1905,4328,7583,179,32245,244,623,25874,1061,3249,1194,31616,546,799,615,9679,2717,5845,11415,8252,432,582,763,742,954,67,4712,574,20646,5368,1437,1546,2385,1617,2386,1369,1017,1033,1018,15,8320,1158,709,4317,2136,1922,1558,1333,914,419,225,151025,144229,7558,80,1784,1695,1214,1280,681,824,126888,105849,191,7174,6357,5167,1441,473,236,9783,867,397,1912,377,1246,1123,184,1920,160,1375,222,6796,6695,101,6589578,2513828
04000US19,Iowa,1053378,78510,974868,656379,294336,90742,21413,9156,1247432,789293,199,789094,756325,32769,458139,756325,96885,199484,35751,4692,55067,21756,50417,75148,153917,3092,3992,37980,18144,151167,20509,2951,2084,826,1003,255,204,663,4543,182,461,3200,566,134,1101,145,431,51,456,18,11860,420,139,78,430,376,1294,743,6749,298,1333,54,54442,16800,10260,9145,251,864,1030,5476,34,12741,52,472,9802,402,699,1314,21081,396,213,3770,3494,2107,6894,4207,3741,1181,316,318,209,336,26,1355,79,14272,5219,1040,1216,2963,1228,2903,476,2427,385,293,92,3100,264,1472,642,722,1437,1120,419,292,127,701,60824,57531,1562,16,233,205,554,355,67,132,52196,41611,190,3487,4883,1303,362,261,99,3773,299,84,607,348,669,750,160,345,36,255,220,3293,3276,17,3106589,1242641
04000US20,Kansas,961491,87376,874115,629077,307553,110548,22699,9068,1142682,702277,1468,700809,664951,35858,440405,664951,87311,187664,33518,5419,43836,20327,37153,66156,137006,1771,4004,26275,14511,200759,14834,3645,3088,1456,1512,120,197,360,5397,101,611,4062,371,252,1318,191,537,131,451,8,4454,212,209,103,457,440,1161,802,268,27,775,20,61599,15296,9476,7831,564,1081,1499,4292,29,17118,223,1044,11018,1038,1349,2446,25047,1307,461,2981,4564,2182,10794,2758,3921,870,183,444,198,387,18,1821,217,10732,6178,1246,2739,2193,165,1474,672,802,660,635,25,1879,308,54,1070,447,376,933,541,411,130,392,112661,109737,3326,0,1451,521,315,643,154,242,100206,87760,343,4185,4372,2833,258,366,89,6205,299,297,1111,407,1404,814,153,748,65,498,409,2924,2922,2,2898292,1115858
04000US21,Kentucky,1537406,217916,1319490,832050,359473,154146,33304,11520,1799319,986425,1118,985307,914204,71103,812894,914204,105350,245275,39900,6928,66288,26491,47473,101057,190813,1722,6205,49328,27374,154143,21694,4404,3328,1153,1889,286,508,568,6492,110,576,5159,342,305,1282,327,432,98,365,60,9516,98,238,127,418,372,1706,1062,3703,104,1688,0,52643,14292,7165,6379,137,649,3501,3582,44,16541,233,320,9474,1343,1261,3910,14603,760,340,520,4844,1675,3801,2663,6951,2267,257,236,333,382,27,3449,256,14205,5292,1079,1146,3067,1672,1617,551,1066,581,561,20,3520,543,883,651,1443,1523,1009,449,309,140,560,64592,61098,12924,99,9139,974,769,716,401,826,43031,32407,260,1782,6147,1605,254,455,121,5143,370,66,640,225,1332,480,216,885,20,757,152,3494,3402,92,4411989,1718217
04000US22,Louisiana,1598710,229963,1368747,841681,384290,131788,31401,11324,1888386,1057323,1904,1055419,976632,78787,831063,976632,112995,260609,46423,14195,78170,34685,61806,120766,200626,1514,7194,19941,17708,187580,16699,4419,3726,1596,1821,309,252,441,5854,142,1308,3711,401,292,2054,453,698,279,624,0,4232,401,140,151,515,464,937,388,326,56,854,140,60738,12749,8431,6957,349,1125,1397,2852,69,11857,80,395,7555,956,1361,1510,29811,360,675,860,5739,1116,20300,761,5450,482,451,513,327,407,14,3256,871,6491,1409,480,348,581,218,1362,756,606,686,673,13,2206,351,117,1113,625,610,625,442,271,171,183,103027,100352,13787,128,5429,3845,1626,937,657,1165,76794,31545,640,5573,6033,27085,4586,756,576,9771,491,209,2167,371,1818,981,369,1171,137,1595,462,2675,2675,0,4645670,1731398
04000US23,Maine,497366,34546,462820,305288,153057,54185,11450,4926,568081,338626,106,338520,320995,17525,229455,320995,41601,90938,18280,1893,23257,9588,19608,34624,64037,1310,1968,8848,5043,47651,10974,3839,3024,1006,1725,293,321,494,2979,163,409,1867,345,195,1102,281,377,206,220,18,3052,36,156,88,453,206,641,357,355,22,738,2,14077,3745,2548,2371,44,133,388,791,18,2375,350,14,1291,254,82,384,5770,783,174,40,2029,445,1946,353,2166,1533,80,71,50,233,0,199,21,6647,3510,322,491,2697,1232,968,84,884,134,115,19,566,122,100,184,160,237,496,471,350,121,25,15457,4896,1582,0,258,305,203,632,73,111,1957,914,46,417,355,76,107,42,0,1357,106,20,353,111,282,90,68,151,0,144,32,10561,10525,36,1329923,551109
