countyid,blockgroups,tracts
15000US13091,16,6
15000US18011,36,10
15000US13093,8,3
15000US18013,11,4
15000US13095,68,27
15000US18015,18,7
15000US13097,54,20
15000US18017,38,11
15000US34041,78,23
15000US17051,22,7
15000US56035,3,2
15000US01029,10,4
15000US08049,8,3
15000US01027,12,4
15000US08047,3,1
15000US01025,23,9
15000US08045,35,11
15000US01023,14,4
15000US08043,35,14
15000US01021,29,9
15000US08041,364,130
15000US51163,17,4
15000US17059,6,2
15000US51161,53,18
15000US51167,27,7
15000US48421,1,1
15000US51165,46,19
15000US51169,19,6
15000US40089,31,8
15000US40087,19,6
15000US40085,6,3
15000US40083,31,8
15000US40081,23,7
15000US48091,63,24
15000US48093,13,4
15000US48095,2,1
15000US48097,29,8
15000US48099,47,19
15000US19029,14,5
15000US21021,21,7
15000US21023,7,3
15000US21025,12,6
15000US21027,15,6
15000US21029,46,18
15000US51015,51,13
15000US51013,180,59
15000US51011,11,3
15000US21209,35,14
15000US21201,1,1
15000US21203,12,4
15000US21205,15,4
15000US21207,15,5
15000US21129,6,3
15000US47165,93,42
15000US44001,37,11
15000US47167,34,13
15000US48389,10,4
15000US47161,10,5
15000US47163,110,39
15000US48385,2,1
15000US48387,14,4
15000US48381,95,29
15000US47169,4,2
15000US48383,3,1
15000US19145,18,6
15000US39085,154,58
15000US19147,10,4
15000US05031,59,17
15000US05033,33,11
15000US21119,13,5
15000US05035,41,20
15000US05037,16,5
15000US21115,17,6
15000US05039,8,3
15000US21117,111,41
15000US21111,574,191
15000US21113,29,9
15000US31091,0,0
15000US31093,5,2
15000US31095,5,3
15000US19143,7,2
15000US31097,3,2
15000US18103,35,10
15000US31099,4,2
15000US44007,498,141
15000US51179,61,27
15000US48279,11,5
15000US48271,2,1
15000US48273,22,6
15000US48275,3,2
15000US48277,37,12
15000US27141,39,11
15000US05149,16,6
15000US48079,2,1
15000US48077,10,3
15000US05145,45,13
15000US48075,6,2
15000US05147,7,2
15000US48073,34,12
15000US05141,12,5
15000US48071,19,7
15000US05143,110,32
15000US29115,15,5
15000US42009,41,11
15000US29117,10,4
15000US29111,10,4
15000US29113,25,7
15000US42001,55,22
15000US42003,1099,402
15000US29119,16,4
15000US42005,65,19
15000US42007,133,51
15000US46017,1,1
15000US46015,5,2
15000US20159,10,3
15000US46013,30,8
15000US47019,37,17
15000US46011,20,6
15000US20153,2,1
15000US20151,8,3
15000US20157,6,3
15000US46019,7,2
15000US20155,58,17
15000US29029,29,11
15000US20089,3,2
15000US51775,19,5
15000US29021,71,25
15000US20081,3,1
15000US29023,35,10
15000US20083,0,0
15000US29025,9,2
15000US20085,10,3
15000US29027,33,8
15000US20087,14,4
15000US72107,17,7
15000US72105,14,5
15000US02130,12,4
15000US72103,15,5
15000US72101,14,6
15000US72109,13,5
15000US51760,160,66
15000US31079,46,14
15000US31077,1,1
15000US31075,0,0
15000US31073,1,1
15000US19099,34,9
15000US31071,1,1
15000US02220,10,2
15000US26073,42,15
15000US26071,9,5
15000US06093,36,13
15000US09013,97,29
15000US06091,4,1
15000US09011,187,66
15000US06097,386,100
15000US06095,284,96
15000US09015,87,25
15000US26077,188,57
15000US06099,307,94
15000US51195,27,11
15000US26075,130,38
15000US46025,5,1
15000US51033,17,7
15000US72079,17,6
15000US22125,6,3
15000US72077,21,6
15000US22127,15,4
15000US72075,33,13
15000US22121,13,5
15000US72073,8,3
15000US22123,10,3
15000US72071,26,10
15000US40139,19,5
15000US17169,7,3
15000US18037,29,7
15000US17165,28,9
15000US17167,179,53
15000US17161,115,40
15000US17163,198,60
15000US18035,100,30
15000US12079,15,5
15000US18137,21,6
15000US18135,29,8
15000US40131,47,28
15000US18133,26,7
15000US18131,12,4
15000US47149,122,48
15000US17023,19,4
15000US18139,16,5
15000US22019,137,44
15000US55001,17,7
15000US51670,16,6
15000US55005,39,10
15000US55007,13,6
15000US22011,22,7
15000US55009,171,54
15000US22013,15,5
15000US22015,72,22
15000US22017,195,64
15000US48473,18,5
15000US13267,15,5
15000US48471,37,10
15000US13265,2,1
15000US48477,23,6
15000US13263,5,3
15000US48475,9,3
15000US13261,25,7
15000US26069,26,10
15000US48479,140,61
15000US36019,76,19
15000US13269,6,2
15000US13065,6,2
15000US18009,11,4
15000US13067,349,120
15000US13061,2,1
15000US13063,125,50
15000US18003,268,96
15000US18001,29,7
15000US12073,176,68
15000US18007,10,3
15000US13069,26,9
15000US18005,58,15
15000US13289,7,2
15000US13285,40,14
15000US13287,8,2
15000US13281,7,3
15000US13283,6,2
15000US08059,409,138
15000US01019,18,6
15000US48173,1,1
15000US53047,43,10
15000US08051,19,4
15000US01013,18,9
15000US08053,0,0
15000US01011,6,2
15000US08055,6,2
15000US01017,32,9
15000US08057,1,1
15000US01015,90,31
15000US51159,5,2
15000US51157,4,2
15000US51155,31,10
15000US51153,229,83
15000US36121,43,11
15000US36123,20,5
15000US10003,367,131
15000US10001,71,33
15000US06107,269,78
15000US10005,133,54
15000US40091,19,6
15000US40093,6,3
15000US40095,10,4
15000US40097,31,9
15000US48171,15,5
15000US54003,64,14
15000US19197,12,5
15000US19195,9,3
15000US13119,15,5
15000US19191,19,5
15000US13115,55,20
15000US13117,107,45
15000US13111,17,5
15000US13113,48,20
15000US32510,42,14
15000US47177,26,9
15000US47175,3,2
15000US47173,13,4
15000US19179,36,11
15000US47171,13,4
15000US19175,14,4
15000US19177,8,2
15000US19171,19,6
15000US47179,77,23
15000US19173,8,3
15000US04007,44,16
15000US04005,97,28
15000US04003,101,32
15000US04001,54,16
15000US48031,6,2
15000US04009,28,9
15000US05023,21,7
15000US21169,9,3
15000US05021,18,6
15000US05027,10,5
15000US05025,7,2
15000US21161,15,5
15000US05029,13,6
15000US21163,19,7
15000US21165,4,2
15000US21167,16,5
15000US37019,89,32
15000US37017,30,6
15000US42067,18,5
15000US37015,19,4
15000US48285,17,6
15000US48287,12,4
15000US08105,9,3
15000US48283,4,1
15000US37013,34,11
15000US48289,12,3
15000US48049,31,12
15000US37011,15,5
15000US48043,8,3
15000US48041,117,42
15000US22075,23,9
15000US48045,0,0
15000US29161,36,10
15000US42019,119,44
15000US29163,16,5
15000US29165,62,20
15000US29167,21,4
15000US42013,112,34
15000US29169,28,9
15000US42011,264,90
15000US42017,380,143
15000US42015,58,14
15000US20145,6,2
15000US46023,7,3
15000US20147,6,3
15000US46021,1,1
15000US20141,3,1
15000US46027,11,3
15000US20143,5,2
15000US06089,130,48
15000US47007,7,3
15000US47005,12,5
15000US46029,20,7
15000US20149,14,4
15000US39013,67,20
15000US47001,52,18
15000US29015,15,6
15000US28155,7,3
15000US20099,21,8
15000US20093,2,1
15000US20091,373,130
15000US20097,3,1
15000US20095,8,3
15000US72111,14,7
15000US54055,48,16
15000US72113,133,46
15000US28159,18,5
15000US72115,13,5
15000US02122,39,12
15000US72117,10,4
15000US54053,21,6
15000US72119,33,12
15000US54059,24,7
15000US51830,8,3
15000US27035,48,16
15000US27037,231,95
15000US27031,5,3
15000US27033,12,4
15000US27039,14,5
15000US39127,27,6
15000US51710,188,81
15000US31049,1,1
15000US31043,12,4
15000US31041,12,4
15000US31047,22,7
15000US31045,7,2
15000US16085,6,3
15000US16087,9,3
15000US02230,0,0
15000US16081,3,1
15000US16083,52,14
15000US09009,627,190
15000US51029,10,4
15000US09005,142,51
15000US09007,118,37
15000US09001,653,211
15000US09003,666,223
15000US12097,75,40
15000US12095,374,207
15000US12093,27,12
15000US12091,116,43
15000US48149,24,7
15000US12099,885,338
15000US51620,5,2
15000US37053,14,8
15000US38059,19,5
15000US72069,36,13
15000US72061,65,23
15000US72063,21,8
15000US72065,23,7
15000US72067,10,4
15000US45091,108,46
15000US24023,21,7
15000US17119,194,61
15000US38051,2,1
15000US48177,15,6
15000US17111,163,52
15000US17113,107,41
15000US17115,98,34
15000US17117,51,13
15000US48175,5,2
15000US39089,111,32
15000US39087,56,16
15000US38055,9,2
15000US39083,45,12
15000US39081,66,23
15000US17031,3992,1319
15000US18101,9,3
15000US18107,33,9
15000US18105,94,31
15000US18109,44,13
15000US55013,12,6
15000US55011,12,5
15000US55017,45,11
15000US55015,32,11
15000US48449,21,8
15000US48447,1,1
15000US55019,28,8
15000US48445,12,3
15000US48443,0,0
15000US48441,115,38
15000US13271,9,3
15000US13273,9,4
15000US13275,35,11
15000US13277,30,9
15000US13279,23,6
15000US26079,15,5
15000US36009,79,21
15000US13077,56,20
15000US17025,9,4
15000US13075,14,4
15000US17027,30,8
15000US13073,54,20
15000US17021,36,10
15000US13071,29,10
15000US18031,20,6
15000US12075,28,10
15000US12077,5,2
15000US12071,513,167
15000US13079,7,3
15000US18039,124,36
15000US13299,32,8
15000US13297,37,15
15000US13295,45,13
15000US13293,20,7
15000US13291,13,5
15000US01005,22,9
15000US01007,14,4
15000US01001,31,12
15000US01003,93,32
15000US01009,34,9
15000US51149,20,7
15000US72043,22,9
15000US36077,55,17
15000US51141,16,4
15000US51143,43,16
15000US51145,13,5
15000US51147,13,5
15000US36075,81,30
15000US36073,30,11
15000US40065,22,8
15000US40067,5,3
15000US40061,10,4
15000US40063,13,5
15000US36071,275,79
15000US40069,8,3
15000US72049,2,2
15000US29129,3,2
15000US37193,52,14
15000US37191,74,26
15000US37197,27,7
15000US37195,54,19
15000US37199,12,5
15000US51037,9,3
15000US19181,28,11
15000US19183,18,5
15000US51036,5,3
15000US19185,5,3
15000US13109,9,3
15000US19189,13,3
15000US51031,36,12
15000US13105,19,5
15000US13103,21,10
15000US13101,2,1
15000US19187,37,12
15000US13107,17,6
15000US47141,40,15
15000US47147,33,14
15000US19169,62,20
15000US30099,6,3
15000US19167,25,7
15000US30097,4,1
15000US19165,14,4
15000US29123,11,3
15000US19163,123,47
15000US30093,36,8
15000US19161,15,4
15000US30091,4,2
15000US04011,7,3
15000US04013,2504,916
15000US04012,21,9
15000US04015,117,42
15000US04017,77,31
15000US05019,18,5
15000US04019,629,241
15000US05017,11,4
15000US05015,17,5
15000US05013,4,2
15000US05011,11,5
15000US21179,22,9
15000US38095,2,1
15000US21173,17,6
15000US21171,9,4
15000US51133,12,4
15000US21177,28,8
15000US47181,12,4
15000US21175,10,5
15000US40119,53,17
15000US40115,28,9
15000US38091,1,1
15000US40111,34,10
15000US40113,34,11
15000US51720,3,1
15000US48297,9,4
15000US48295,1,1
15000US48293,17,8
15000US48291,50,14
15000US48299,17,6
15000US48055,24,8
15000US29229,18,4
15000US48051,13,4
15000US48053,26,8
15000US29223,14,4
15000US29221,18,5
15000US38099,12,6
15000US29227,2,1
15000US29225,22,8
15000US29173,8,3
15000US42027,98,31
15000US29171,5,2
15000US42025,50,12
15000US29177,16,4
15000US42023,5,2
15000US29175,20,6
15000US42021,134,42
15000US46035,17,4
15000US29179,5,2
15000US46031,3,2
15000US46033,5,2
15000US42029,264,116
15000US20131,8,3
15000US20133,17,5
15000US20135,3,2
15000US20137,4,1
15000US20139,14,5
15000US47031,33,12
15000US47037,472,161
15000US35028,16,4
15000US54045,30,9
15000US51003,65,22
15000US47143,18,6
15000US54047,26,8
15000US02110,22,6
15000US54043,20,5
15000US54041,14,5
15000US23031,139,41
15000US47145,40,11
15000US54049,58,18
15000US27027,43,13
15000US28081,55,19
15000US27025,29,10
15000US28083,28,8
15000US27023,11,3
15000US20049,4,1
15000US27021,27,10
15000US28087,43,14
15000US20045,64,22
15000US20047,3,2
15000US20041,18,6
15000US27029,9,3
15000US20043,9,3
15000US31055,496,156
15000US31057,2,1
15000US30095,6,3
15000US31051,6,2
15000US35029,16,6
15000US31053,31,9
15000US35025,59,18
15000US35027,13,5
15000US31059,4,2
15000US35021,0,0
15000US35023,2,1
15000US12081,207,79
15000US12083,174,63
15000US12085,93,36
15000US12087,75,31
15000US12086,1593,519
15000US12089,39,13
15000US51690,14,5
15000US37069,29,12
15000US51630,15,6
15000US37067,242,92
15000US49049,344,128
15000US72095,10,4
15000US37065,46,14
15000US45089,31,11
15000US48021,38,10
15000US72093,4,2
15000US45085,67,23
15000US45087,26,9
15000US45081,14,5
15000US72099,18,7
15000US45083,194,69
15000US37063,152,60
15000US37061,33,11
15000US19141,15,4
15000US49047,18,6
15000US17109,33,10
15000US17103,37,9
15000US17101,17,5
15000US17107,28,8
15000US17105,34,10
15000US55078,2,1
15000US39099,215,70
15000US32019,26,10
15000US39091,38,11
15000US32011,1,1
15000US39093,201,74
15000US32013,13,4
15000US39095,397,128
15000US32015,4,1
15000US39097,27,12
15000US32017,3,2
15000US55029,26,10
15000US55027,66,20
15000US55025,309,107
15000US13259,4,2
15000US51019,47,17
15000US48459,26,7
15000US26049,372,131
15000US48451,96,25
15000US26047,26,9
15000US48453,579,218
15000US26045,79,28
15000US48455,13,5
15000US26043,18,7
15000US48457,15,5
15000US26041,29,13
15000US36033,41,14
15000US36031,37,13
15000US36037,56,14
15000US36035,55,15
15000US36039,42,15
15000US17037,59,21
15000US13043,7,3
15000US17035,10,3
15000US17033,19,6
15000US13047,33,11
15000US18027,28,7
15000US13045,52,17
15000US12067,5,2
15000US12065,10,4
15000US13049,5,2
15000US12063,38,11
15000US17039,14,5
15000US13257,17,5
15000US51017,4,1
15000US01071,43,11
15000US01073,517,163
15000US01075,15,3
15000US01077,72,22
15000US01079,30,9
15000US39125,16,5
15000US36109,63,22
15000US36107,44,10
15000US36105,77,24
15000US36103,998,323
15000US36101,91,29
15000US18119,15,5
15000US18115,5,2
15000US39121,11,3
15000US18117,18,6
15000US18111,12,4
15000US18113,34,10
15000US40077,7,3
15000US40075,8,3
15000US40117,15,5
15000US40073,10,4
15000US39123,42,12
15000US40071,37,11
15000US38035,53,18
15000US40079,38,12
15000US37189,30,13
15000US01109,22,8
15000US37185,14,6
15000US01105,11,3
15000US37187,14,3
15000US01107,18,5
15000US28069,8,2
15000US01101,198,64
15000US37183,454,186
15000US01103,74,27
15000US13319,8,3
15000US51041,167,71
15000US13139,89,36
15000US51045,2,1
15000US51047,19,8
15000US13133,18,7
15000US13131,16,6
15000US13137,25,8
15000US13135,312,113
15000US47159,10,5
15000US44003,121,39
15000US47155,43,18
15000US51750,10,3
15000US47157,627,221
15000US47151,15,5
15000US47153,7,3
15000US30089,9,3
15000US21091,6,3
15000US21093,67,21
15000US21095,32,11
15000US21097,13,5
15000US30081,30,10
15000US19153,301,98
15000US30083,7,3
15000US19151,8,3
15000US30085,10,3
15000US19157,16,5
15000US30087,7,4
15000US19155,92,30
15000US05009,22,7
15000US48115,13,4
15000US48117,16,4
15000US48111,5,2
15000US48113,1668,529
15000US05001,20,8
15000US05003,20,7
15000US44005,61,23
15000US05005,29,9
15000US48119,3,2
15000US05007,137,49
15000US21147,13,4
15000US21145,52,16
15000US21143,6,3
15000US21141,20,6
15000US19081,12,4
15000US19083,19,6
15000US19085,13,5
15000US19087,15,5
15000US17029,50,12
15000US40109,660,241
15000US53061,500,151
15000US40107,11,4
15000US40105,11,4
15000US40103,10,4
15000US40101,60,16
15000US54065,12,4
15000US53063,321,105
15000US53065,33,12
15000US48359,1,1
15000US29217,17,6
15000US29215,21,4
15000US29213,33,10
15000US29211,7,3
15000US48029,1083,366
15000US29219,18,5
15000US42031,35,10
15000US46049,2,1
15000US42033,64,20
15000US28163,21,6
15000US28161,11,3
15000US42039,83,23
15000US46041,4,2
15000US46043,2,1
15000US46045,3,2
15000US46047,5,2
15000US20123,6,2
15000US31115,0,0
15000US20121,29,8
15000US31117,0,0
15000US20127,7,2
15000US31111,34,8
15000US20125,36,13
15000US31113,0,0
15000US20129,2,1
15000US47029,26,9
15000US31119,29,9
15000US72039,11,4
15000US48057,17,6
15000US48339,185,59
15000US48335,6,2
15000US48337,20,6
15000US48331,19,7
15000US48333,5,2
15000US54073,6,2
15000US23029,34,14
15000US54071,7,3
15000US54077,32,8
15000US54075,8,3
15000US23023,27,9
15000US23021,18,8
15000US54079,38,10
15000US23027,33,8
15000US23025,44,16
15000US28093,22,6
15000US27013,44,16
15000US28091,20,6
15000US27011,5,2
15000US28097,10,3
15000US27017,28,7
15000US20059,22,5
15000US27015,25,8
15000US20057,24,7
15000US20055,29,12
15000US27019,45,19
15000US20053,5,2
15000US20051,24,6
15000US31021,5,3
15000US31023,6,3
15000US31025,20,6
15000US35039,28,9
15000US31027,8,2
15000US35037,11,3
15000US31029,3,1
15000US35035,46,16
15000US51083,30,9
15000US35033,4,1
15000US35031,52,17
15000US26037,53,22
15000US29149,9,3
15000US38083,0,0
15000US29147,17,5
15000US29145,44,12
15000US29143,20,6
15000US29141,16,5
15000US06045,78,21
15000US06047,143,49
15000US06041,174,55
15000US06043,16,6
15000US06049,11,4
15000US51089,40,14
15000US46039,3,2
15000US51600,16,5
15000US51790,19,5
15000US02105,3,1
15000US02100,2,1
15000US72087,22,11
15000US50007,99,35
15000US72085,16,6
15000US72083,6,3
15000US72081,17,8
15000US50005,25,10
15000US72089,14,6
15000US50003,34,12
15000US51035,21,7
15000US51540,36,12
15000US17137,34,10
15000US17135,27,8
15000US17133,14,6
15000US17131,18,4
15000US50019,25,10
15000US17139,13,4
15000US39065,27,7
15000US32009,1,1
15000US39067,16,5
15000US39061,696,221
15000US39063,61,13
15000US32003,1293,487
15000US32001,19,7
15000US32007,36,14
15000US39069,26,7
15000US32005,31,17
15000US55039,85,20
15000US55031,41,13
15000US55033,29,8
15000US51810,301,100
15000US40099,13,3
15000US55037,4,2
15000US26059,40,12
15000US36029,778,237
15000US47033,11,5
15000US26051,23,9
15000US47115,18,6
15000US26053,24,8
15000US26055,56,17
15000US26057,36,10
15000US51009,20,9
15000US13059,71,29
15000US13055,21,6
15000US13057,84,26
15000US19119,12,3
15000US13051,204,71
15000US13053,9,5
15000US17003,8,4
15000US12059,14,4
15000US17007,26,7
15000US17005,14,4
15000US12053,106,45
15000US17009,5,2
15000US12057,880,321
15000US12055,78,27
15000US54009,21,6
15000US19113,136,45
15000US01063,9,3
15000US08083,21,7
15000US01061,23,6
15000US08081,14,4
15000US01067,15,6
15000US08087,24,8
15000US01065,12,6
15000US08085,32,10
15000US01069,69,22
15000US08089,19,7
15000US36119,703,223
15000US51680,48,19
15000US48159,6,3
15000US36111,151,47
15000US36113,46,19
15000US36115,45,17
15000US36117,61,23
15000US38071,11,3
15000US18169,32,8
15000US39119,74,19
15000US18161,6,2
15000US18163,158,49
15000US18165,18,5
15000US18167,93,28
15000US40043,4,3
15000US40041,28,9
15000US40047,45,12
15000US41069,1,1
15000US40045,2,2
15000US41067,302,104
15000US41065,21,8
15000US40049,25,9
15000US41063,6,2
15000US41061,25,8
15000US01119,13,4
15000US01117,111,48
15000US01115,38,13
15000US01113,35,13
15000US01111,17,6
15000US48155,0,0
15000US13125,2,1
15000US13127,54,16
15000US13121,543,204
15000US13123,15,5
15000US51059,648,258
15000US13129,28,9
15000US37033,17,6
15000US47129,14,5
15000US47121,5,3
15000US47123,27,7
15000US47125,84,38
15000US47127,3,2
15000US21083,28,9
15000US30075,1,1
15000US21081,14,4
15000US30077,7,2
15000US21087,10,4
15000US30071,3,1
15000US21085,22,7
15000US30073,6,2
15000US21089,28,9
15000US19149,21,6
15000US30079,0,0
15000US48107,5,3
15000US37085,60,27
15000US48105,4,1
15000US37087,47,16
15000US48103,4,1
15000US37081,291,118
15000US48101,2,1
15000US37083,50,12
15000US37089,71,27
15000US48109,3,1
15000US21151,49,18
15000US21153,11,4
15000US21155,14,6
15000US21157,21,6
15000US21159,9,3
15000US72021,160,62
15000US19091,10,4
15000US39011,40,11
15000US19097,21,6
15000US19095,13,4
15000US20203,2,1
15000US20201,7,2
15000US20207,1,1
15000US20205,5,3
15000US40133,26,9
15000US20209,160,69
15000US40137,34,11
15000US40135,25,9
15000US45053,15,5
15000US29201,34,10
15000US05101,6,2
15000US29203,7,2
15000US05103,25,6
15000US29205,6,3
15000US05105,8,3
15000US29207,25,8
15000US05107,23,6
15000US29209,23,6
15000US05109,8,3
15000US48039,177,51
15000US28153,16,4
15000US46059,3,2
15000US28151,53,19
15000US28157,7,2
15000US20119,3,2
15000US46053,3,2
15000US20117,10,4
15000US46051,8,2
15000US20115,13,4
15000US46057,4,2
15000US20113,28,7
15000US46055,1,1
15000US20111,31,8
15000US31107,5,3
15000US47051,26,9
15000US31105,3,1
15000US47053,39,14
15000US31103,0,0
15000US47055,18,8
15000US31101,8,3
15000US47057,15,5
15000US47059,47,15
15000US31109,200,74
15000US48329,96,27
15000US48327,2,1
15000US48325,25,8
15000US48323,28,9
15000US48321,35,11
15000US28085,25,6
15000US23017,47,17
15000US23015,34,10
15000US27009,27,9
15000US23013,40,11
15000US23011,102,31
15000US27005,27,10
15000US27007,32,10
15000US27001,16,6
15000US27003,234,82
15000US23019,116,46
15000US38097,9,4
15000US20069,6,2
15000US38093,21,6
15000US28089,59,21
15000US20063,2,2
15000US20061,24,8
15000US20067,6,2
15000US20065,3,2
15000US31033,9,3
15000US31031,6,2
15000US35009,39,12
15000US31037,9,3
15000US31035,6,2
15000US35003,2,1
15000US31039,7,3
15000US35001,435,153
15000US35006,20,7
15000US35007,15,3
15000US35005,51,16
15000US29159,37,11
15000US54005,16,8
15000US29151,10,4
15000US29153,9,2
15000US29155,18,6
15000US29157,15,5
15000US06057,74,20
15000US06055,105,40
15000US06053,232,94
15000US06051,16,3
15000US51135,15,4
15000US06059,1822,583
15000US48193,8,3
15000US51700,126,44
15000US16039,15,5
15000US16035,12,2
15000US16037,3,1
15000US16031,18,6
15000US16033,0,0
15000US51610,7,3
15000US45047,48,14
15000US54069,47,18
15000US02170,48,23
15000US54067,20,7
15000US54061,99,24
15000US54063,11,3
15000US51137,15,5
15000US51530,5,1
15000US17121,42,12
15000US17123,11,5
15000US17125,19,6
15000US17127,13,4
15000US17129,12,3
15000US50009,5,3
15000US39077,47,13
15000US39075,22,8
15000US39073,22,7
15000US24009,44,19
15000US39071,34,9
15000US32031,311,112
15000US24005,528,214
15000US38077,14,6
15000US24001,53,23
15000US39079,29,7
15000US24003,311,105
15000US51131,12,4
15000US36059,1142,284
15000US36051,44,15
15000US36053,46,16
15000US36055,608,193
15000US36057,41,16
15000US13029,13,7
15000US17019,149,43
15000US17015,17,6
15000US13021,125,44
15000US17017,14,5
15000US13023,7,3
15000US17011,36,10
15000US13025,8,3
15000US17013,4,2
15000US13027,14,5
15000US12045,14,4
15000US12047,9,3
15000US12041,12,5
15000US12043,10,4
15000US12049,19,6
15000US08099,13,5
15000US01059,25,9
15000US08095,5,2
15000US01057,17,5
15000US08097,12,4
15000US01055,82,30
15000US08091,3,1
15000US01053,29,9
15000US08093,11,5
15000US01051,45,15
15000US51193,15,4
15000US51191,34,13
15000US51197,23,6
15000US37041,13,3
15000US51199,40,15
15000US18179,25,7
15000US37043,6,2
15000US39109,85,21
15000US18173,42,11
15000US18171,8,2
15000US18177,51,17
15000US18175,21,6
15000US37045,76,22
15000US41059,63,15
15000US41053,40,12
15000US37047,46,13
15000US41057,28,9
15000US41055,1,1
15000US51820,16,4
15000US01129,16,5
15000US37049,63,21
15000US01123,35,10
15000US01121,53,22
15000US01127,57,18
15000US01125,114,47
15000US53053,559,171
15000US51069,45,14
15000US51067,31,10
15000US51065,12,4
15000US51063,7,3
15000US51061,35,17
15000US13151,62,25
15000US13153,73,23
15000US13155,7,2
15000US13157,28,11
15000US13159,6,2
15000US26035,26,10
15000US47139,11,4
15000US47133,14,7
15000US26033,36,16
15000US47131,27,10
15000US47137,4,1
15000US47135,6,2
15000US30067,16,6
15000US19131,11,3
15000US30065,4,2
15000US19133,11,4
15000US30063,75,20
15000US26031,25,9
15000US30061,3,2
15000US19137,11,4
15000US19139,33,10
15000US30069,0,0
15000US37097,111,44
15000US48133,18,5
15000US37095,5,3
15000US48131,9,3
15000US37093,24,9
15000US48137,1,1
15000US37091,18,5
15000US48135,108,28
15000US48139,93,31
15000US37099,25,9
15000US40059,1,1
15000US40055,5,2
15000US40057,1,1
15000US40051,38,9
15000US40053,3,1
15000US40125,52,16
15000US55085,37,14
15000US40127,8,3
15000US40121,41,12
15000US40123,31,10
15000US40129,2,1
15000US39107,32,9
15000US21189,4,2
15000US19049,42,15
15000US19045,47,12
15000US19047,16,5
15000US53057,81,30
15000US19041,17,4
15000US19043,18,6
15000US48009,8,3
15000US39103,109,37
15000US48005,51,17
15000US48003,10,3
15000US48001,38,11
15000US05113,15,6
15000US05111,22,7
15000US05117,9,3
15000US39101,56,17
15000US05115,32,11
15000US05119,290,95
15000US20109,2,1
15000US46067,6,3
15000US45059,57,17
15000US46065,14,4
15000US46063,0,0
15000US46061,2,1
15000US20101,2,1
15000US20103,49,16
15000US20105,3,1
15000US20107,9,2
15000US46069,1,1
15000US47043,29,10
15000US31133,2,1
15000US47041,12,4
15000US31131,11,5
15000US47047,32,11
15000US31137,10,3
15000US47045,25,8
15000US31135,2,1
15000US47049,11,4
15000US31139,5,2
15000US29099,128,42
15000US53029,56,22
15000US29091,31,8
15000US29093,8,4
15000US29095,547,198
15000US29097,93,22
15000US48319,4,2
15000US32027,4,1
15000US48313,10,4
15000US48311,0,0
15000US48317,3,1
15000US48315,9,4
15000US23001,71,28
15000US27079,21,6
15000US23003,79,24
15000US39005,43,11
15000US23005,212,67
15000US23007,25,9
15000US23009,49,18
15000US27071,13,4
15000US27073,7,3
15000US27075,12,4
15000US27077,2,1
15000US20075,1,1
15000US20077,6,3
15000US20071,1,1
15000US20073,8,3
15000US31009,0,0
15000US38089,23,8
15000US31007,0,0
15000US31005,0,0
15000US20079,26,6
15000US31003,7,3
15000US31001,28,9
15000US35015,43,11
15000US35017,24,8
15000US35011,1,1
15000US35013,128,41
15000US35019,3,1
15000US32029,2,1
15000US28149,38,12
15000US28145,18,6
15000US28147,12,3
15000US28141,16,4
15000US28143,6,3
15000US02016,2,1
15000US06061,212,85
15000US02013,2,1
15000US06067,911,317
15000US06065,1029,452
15000US06069,39,11
15000US27105,21,6
15000US27107,8,3
15000US27101,7,3
15000US16029,6,2
15000US27103,20,7
15000US16027,83,28
15000US38057,6,3
15000US16025,0,0
15000US16023,2,1
15000US27109,110,33
15000US16021,8,2
15000US72091,27,10
15000US51660,26,11
15000US46089,2,1
15000US46085,3,1
15000US46087,5,2
15000US46081,16,5
15000US46083,29,11
15000US54019,38,12
15000US06115,48,14
15000US06113,121,41
15000US06111,429,173
15000US54011,81,29
15000US54013,5,2
15000US54015,7,3
15000US02164,1,1
15000US48379,4,2
15000US51520,12,4
15000US32021,3,2
15000US39043,69,19
15000US32023,22,10
15000US39041,87,35
15000US39047,25,7
15000US24019,29,10
15000US39045,93,28
15000US24017,80,31
15000US24015,56,19
15000US39049,886,284
15000US24013,105,38
15000US24011,22,9
15000US48483,4,2
15000US36049,21,7
15000US48481,34,11
15000US48487,11,4
15000US48485,105,37
15000US36043,61,19
15000US36041,7,4
15000US48489,15,6
15000US36047,2084,761
15000US36045,95,26
15000US29059,14,3
15000US17069,5,2
15000US13039,24,11
15000US13033,15,6
15000US17061,16,5
15000US13031,41,12
15000US17063,33,10
15000US13037,5,2
15000US17065,9,3
15000US13035,13,3
15000US17067,21,7
15000US12031,489,174
15000US55023,15,6
15000US12033,190,72
15000US12035,51,21
15000US12037,12,6
15000US48433,1,1
15000US12039,31,9
15000US01049,52,14
15000US17201,262,77
15000US17203,29,9
15000US39135,33,12
15000US01041,9,6
15000US01043,61,18
15000US01045,42,14
15000US51550,121,40
15000US01047,38,15
15000US18091,83,29
15000US18093,38,10
15000US18095,108,37
15000US18097,631,224
15000US51185,35,11
15000US18099,37,12
15000US51187,26,8
15000US29053,13,5
15000US51181,6,2
15000US51183,10,5
15000US49053,56,21
15000US49051,9,4
15000US45039,17,5
15000US49055,1,1
15000US45035,66,25
15000US45037,18,6
15000US45031,54,16
15000US45033,27,6
15000US18147,15,5
15000US18145,34,10
