countyid,blockgroups,tracts
15000US21075,8,2
15000US30023,10,3
15000US30021,10,3
15000US21079,11,4
15000US30027,5,2
15000US30025,2,1
15000US34013,670,210
15000US34011,99,35
15000US34017,444,166
15000US34015,190,63
15000US34019,78,26
15000US48179,23,7
15000US08039,14,7
15000US08037,28,13
15000US08035,154,61
15000US08033,1,1
15000US08031,480,144
15000US40011,11,5
15000US40013,30,11
15000US40015,27,8
15000US51139,20,5
15000US40017,77,29
15000US41019,84,23
15000US40019,41,11
15000US41017,84,23
15000US41015,16,6
15000US41013,15,4
15000US41011,63,14
15000US48349,34,10
15000US48059,11,3
15000US53071,42,12
15000US19001,8,3
15000US19003,3,2
15000US19005,14,5
15000US19007,13,5
15000US19009,8,3
15000US47039,9,4
15000US53075,32,10
15000US37105,36,13
15000US37107,46,15
15000US37101,83,25
15000US37103,6,3
15000US54017,7,2
15000US37109,49,18
15000US47087,8,4
15000US31177,17,5
15000US47085,15,5
15000US31175,4,2
15000US47083,6,3
15000US31173,5,2
15000US47081,13,6
15000US31171,0,0
15000US47089,31,9
15000US31179,9,2
15000US48347,38,13
15000US25015,104,36
15000US25017,1132,318
15000US25011,61,18
15000US25013,336,103
15000US48357,8,3
15000US48355,241,81
15000US25019,11,6
15000US48351,13,4
15000US48023,4,1
15000US48199,36,11
15000US48195,4,2
15000US48197,4,1
15000US48191,2,1
15000US37009,21,6
15000US20039,3,1
15000US51097,4,2
15000US29079,11,4
15000US20031,7,3
15000US29073,12,5
15000US20033,2,1
15000US29071,64,17
15000US20035,32,11
15000US29077,166,62
15000US20037,33,11
15000US29075,6,2
15000US35059,2,1
15000US46135,18,5
15000US46137,1,1
15000US37005,10,3
15000US35051,7,4
15000US35053,11,5
15000US35055,21,6
15000US35057,10,4
15000US22069,34,9
15000US37007,18,6
15000US37001,112,36
15000US28101,19,5
15000US28103,9,3
15000US48229,2,1
15000US28105,26,8
15000US28107,20,6
15000US22065,9,5
15000US28109,30,9
15000US48223,26,9
15000US37003,23,7
15000US48227,27,10
15000US48225,20,7
15000US27149,10,3
15000US02290,8,4
15000US27143,15,4
15000US27145,97,29
15000US27147,25,8
15000US16063,3,1
15000US16061,5,3
15000US16067,15,5
15000US51099,10,5
15000US16065,21,6
15000US42035,36,9
15000US16069,35,10
15000US42037,54,15
15000US28079,17,5
15000US28075,65,19
15000US28077,10,3
15000US28071,29,10
15000US28073,27,8
15000US53031,26,8
15000US02185,5,3
15000US02180,9,2
15000US02188,8,2
15000US39007,93,26
15000US27099,33,10
15000US39003,91,33
15000US39001,21,6
15000US27093,21,6
15000US27091,20,6
15000US27097,29,8
15000US27095,17,7
15000US38023,1,1
15000US06027,15,6
15000US38021,6,3
15000US06025,95,30
15000US38027,2,1
15000US06023,107,31
15000US38025,2,1
15000US06021,22,6
15000US47021,20,9
15000US38029,3,1
15000US02050,11,3
15000US06029,455,151
15000US21047,50,19
15000US47023,8,3
15000US72019,15,6
15000US17041,18,5
15000US41051,520,171
15000US18055,32,9
15000US18057,104,39
15000US18051,28,7
15000US47035,31,13
15000US18053,53,16
15000US17083,17,6
15000US17081,36,11
15000US17087,11,4
15000US17085,25,6
15000US18033,34,9
15000US49015,8,3
15000US55141,71,17
15000US19107,12,4
15000US72009,14,6
15000US49011,154,54
15000US72007,15,6
15000US72005,44,17
15000US72003,28,10
15000US38065,1,1
15000US72001,11,6
15000US49019,6,2
15000US26165,23,8
15000US45071,30,8
15000US45073,51,15
15000US26161,250,99
15000US45075,73,20
15000US26163,1821,611
15000US45077,71,28
15000US38063,3,1
15000US39175,21,6
15000US39173,89,28
15000US39171,35,9
15000US12101,307,134
15000US55099,16,6
15000US12103,720,246
15000US12105,330,154
15000US12107,60,17
15000US55093,25,8
15000US12109,81,41
15000US55091,5,2
15000US55097,51,14
15000US55095,31,10
15000US56045,4,2
15000US56041,15,3
15000US56043,7,3
15000US13187,11,4
15000US13185,68,25
15000US22049,13,5
15000US13183,6,3
15000US48429,9,3
15000US13181,6,2
15000US22043,14,5
15000US22041,17,6
15000US22047,21,7
15000US13189,17,5
15000US22045,53,16
15000US13217,33,13
15000US13215,124,53
15000US01089,190,72
15000US48145,12,6
15000US13211,8,4
15000US01085,11,4
15000US01087,19,11
15000US01081,76,27
15000US01083,42,16
15000US30017,13,6
15000US30015,5,2
15000US34009,90,33
15000US30013,71,22
15000US30011,1,1
15000US34005,278,114
15000US34007,381,127
15000US34001,183,70
15000US34003,790,179
15000US30019,1,1
15000US48161,12,7
15000US05097,7,3
15000US48163,11,3
15000US05095,8,3
15000US48165,12,3
15000US05093,42,12
15000US48167,193,67
15000US05091,37,12
15000US48169,4,1
15000US05099,7,3
15000US45049,15,5
15000US08009,3,2
15000US08003,14,4
15000US08001,259,97
15000US08007,9,4
15000US08005,407,146
15000US41009,35,10
15000US41001,16,6
15000US72054,6,2
15000US41003,60,18
15000US41005,216,80
15000US41007,37,12
15000US15005,1,1
